ref	value	footprint
C1	2.2u	
C2	2.2u	
C3	1u	
C4	1u	
C5	33p	
C6	100n	
C7	33p	
C8	10u	
C9	10u	
C10	15p	
C11	15p	
C12	10u	
C13	10u	
D1	1N4148	
IC1	78XX/TO3	v-reg-TO3/78
IC2	79XX-TO3	v-reg-TO3-79
IC3	INA118P	burr-brown-3-DIL08
IC4	LT1009CZ	linear-technology-2-TO92
IC5	PIC16F84AP	microchip-2-DIL18
K1	SENSOR1	
K2	SENSOR2	
K3	RESET_16	
K4	DB9	
P1	Vpos	
P2	Vneg	
P3	Teclado	
P4	CELDA	
P5	ICD2	
P6	ICD2e/RESET18	
P7	CONN_8X2	
R1	150	
R2	10k	
R3	10k	
R4	10k	
R5	10k	
R6	50	
R7	10k	
R8	10k	
R9	4.7k	
R10	4.7k	
R11	2.5k	
R12	10k	
R13	10k	
R14	10k	
RV1	1k	
U1	24C512	
U2	MAX202	
U***1	PIC18F4550	
X1	20Mhz	
X2	4Mhz	
